           3   1.9267134807778308E-002   1.4308422040308910E-003   8.3176988575628386E-006
           5   4.7557753123399493E-003   8.1344519472836829E-005   1.0689860108215044E-010
           7   2.1087633751815105E-003   1.5800190433234995E-005   3.3306690738754696E-016
           9   1.1852161762400115E-003   4.9702024599307393E-006   3.3306690738754696E-016
          11   7.5825350251657042E-004   2.0303237225904880E-006   2.2204460492503131E-016
          13   5.2645756740177241E-004   9.7770185802925624E-007   4.4408920985006262E-016
          15   3.8673761140539664E-004   5.2727529509244420E-007   4.4408920985006262E-016
          17   2.9607236691364669E-004   3.0890286162321701E-007   2.2204460492503131E-016
          19   2.3392093108942635E-004   1.9277116847238318E-007   1.1102230246251565E-016
          21   1.8946854426837856E-004   1.2644181413001832E-007   2.2204460492503131E-016
          23   1.5658104322580080E-004   8.6343604155381115E-008   1.2212453270876722E-015
          25   1.3156867577934772E-004   6.0954761349485409E-008   7.7715611723760958E-016
          27   1.1210393414262665E-004   4.4249265473972343E-008   6.6613381477509392E-016
          29   9.6659731869674914E-005   3.2894642232328408E-008   7.7715611723760958E-016
          31   8.4200443455473284E-005   2.4959636912846861E-008   1.1102230246251565E-016
          33   7.4003632111296902E-005   1.9279489338330791E-008   4.4408920985006262E-016
          35   6.5552903002030760E-005   1.5127136099302163E-008   8.8817841970012523E-016
          37   5.8471206585641866E-005   1.2034915397585166E-008   4.4408920985006262E-016
          39   5.2478036131176076E-005   9.6939840599219451E-009   6.6613381477509392E-016
          41   4.7361214399743723E-005   7.8955565419036589E-009   4.4408920985006262E-016
          43   4.2957851174363348E-005   6.4955140155475988E-009   1.1102230246251565E-016
          45   3.9141216436999748E-005   5.3924927856385807E-009   4.4408920985006262E-016
          47   3.5811518448003454E-005   4.5139824100814963E-009   1.1102230246251565E-016
          49   3.2889313462236558E-005   3.8073099117852394E-009   1.1102230246251565E-016
          51   3.0310722522575162E-005   3.2336734401283707E-009   2.2204460492503131E-016
          53   2.8023910446983713E-005   2.7641177124948513E-009   7.7715611723760958E-016
          55   2.5986460225113639E-005   2.3767819934406020E-009   8.8817841970012523E-016
          57   2.4163391733500461E-005   2.0549785206824822E-009   6.6613381477509392E-016
          59   2.2525650205662551E-005   1.7858415857219256E-009   2.2204460492503131E-016
          61   2.1048941345025440E-005   1.5593578650552331E-009   2.2204460492503131E-016
          63   1.9712825121476207E-005   1.3676669796680585E-009   5.5511151231257827E-016
          65   1.8500004616894827E-005   1.2045476838196123E-009   3.3306690738754696E-016
          67   1.7395763382554996E-005   1.0650380577459373E-009   9.9920072216264089E-016
          69   1.6387516885152387E-005   9.4515351101165379E-010   0.0000000000000000     
          71   1.5464452355229419E-005   8.4167317560002175E-010   4.4408920985006262E-016
